,_id,category,commodity_transaction,country_or_area,quantity,quantity_footnotes,unit,year
112,5d5844fb9d1a687cde4888fc,nuclear_electricity,Electricity - total nuclear production,Bulgaria,17751.0,,"Kilowatt-hours, million",1997
113,5d5844fb9d1a687cde4888fd,nuclear_electricity,Electricity - total nuclear production,Bulgaria,18082.0,,"Kilowatt-hours, million",1996
114,5d5844fb9d1a687cde4888fe,nuclear_electricity,Electricity - total nuclear production,Bulgaria,17261.0,,"Kilowatt-hours, million",1995
115,5d5844fb9d1a687cde4888ff,nuclear_electricity,Electricity - total nuclear production,Bulgaria,15335.0,,"Kilowatt-hours, million",1994
116,5d5844fb9d1a687cde488900,nuclear_electricity,Electricity - total nuclear production,Bulgaria,11552.0,,"Kilowatt-hours, million",1992
117,5d5844fb9d1a687cde488901,nuclear_electricity,Electricity - total nuclear production,Bulgaria,13973.0,,"Kilowatt-hours, million",1993
118,5d5844fb9d1a687cde488902,nuclear_electricity,Electricity - total nuclear production,Bulgaria,13184.0,,"Kilowatt-hours, million",1991
119,5d5844fb9d1a687cde488903,nuclear_electricity,Electricity - total nuclear production,Bulgaria,14665.0,,"Kilowatt-hours, million",1990
120,5d5844fb9d1a687cde488904,nuclear_electricity,Electricity - total nuclear production,Canada,107678.0,,"Kilowatt-hours, million",2014
121,5d5844fb9d1a687cde488905,nuclear_electricity,Electricity - total nuclear production,Canada,103439.0,,"Kilowatt-hours, million",2013
122,5d5844fb9d1a687cde488906,nuclear_electricity,Electricity - total nuclear production,Canada,94862.0,,"Kilowatt-hours, million",2012
123,5d5844fb9d1a687cde488907,nuclear_electricity,Electricity - total nuclear production,Canada,93589.0,,"Kilowatt-hours, million",2011
124,5d5844fb9d1a687cde488908,nuclear_electricity,Electricity - total nuclear production,Canada,90658.0,,"Kilowatt-hours, million",2010
125,5d5844fb9d1a687cde488909,nuclear_electricity,Electricity - total nuclear production,Canada,90091.0,,"Kilowatt-hours, million",2009
126,5d5844fb9d1a687cde48890a,nuclear_electricity,Electricity - total nuclear production,Canada,96020.0,,"Kilowatt-hours, million",2008
127,5d5844fb9d1a687cde48890b,nuclear_electricity,Electricity - total nuclear production,Canada,93482.0,,"Kilowatt-hours, million",2007
128,5d5844fb9d1a687cde48890c,nuclear_electricity,Electricity - total nuclear production,Canada,97964.0,,"Kilowatt-hours, million",2006
129,5d5844fb9d1a687cde48890d,nuclear_electricity,Electricity - total nuclear production,Canada,92040.0,,"Kilowatt-hours, million",2005
130,5d5844fb9d1a687cde48890e,nuclear_electricity,Electricity - total nuclear production,Canada,90387.0,,"Kilowatt-hours, million",2004
